Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note
2024-08-15 09:30:00,JFK,LHR,BA178,British Airways,5539,07:10,22A,W,Y,L,Boeing 777-300ER,,,,
2024-08-22 14:00:00,LHR,CDG,AF1681,Air France,340,01:15,12F,W,Y,L,Airbus A320,,,,
2024-08-24 18:30:00,CDG,FCO,AZ319,ITA Airways,1098,02:05,8A,W,Y,L,Airbus A321,,,,
2024-08-30 11:00:00,FCO,JFK,DL273,Delta Air Lines,6889,09:45,31D,A,Y,L,Boeing 767-400ER,,,,
2024-03-10 07:00:00,SFO,NRT,JL1,Japan Airlines,5130,11:00,15K,W,Y,B,Boeing 787-9,,,,
2024-03-17 16:00:00,NRT,SFO,JL2,Japan Airlines,5130,09:30,15K,W,Y,B,Boeing 787-9,,,,
2023-12-20 20:00:00,JFK,SIN,SQ25,Singapore Airlines,9521,18:30,42A,W,Y,L,Airbus A350-900ULR,,,,
2023-12-28 23:00:00,SIN,JFK,SQ24,Singapore Airlines,9521,18:45,42A,W,Y,L,Airbus A350-900ULR,,,,
2023-06-01 06:00:00,LHR,DXB,EK4,Emirates,3400,06:50,28D,A,Y,B,Airbus A380,,,,
2023-06-05 08:00:00,DXB,BOM,EK508,Emirates,1523,03:00,14A,W,Y,B,Boeing 777-300ER,,,,
2023-06-12 02:00:00,BOM,LHR,BA138,British Airways,4479,09:15,35C,A,Y,B,Boeing 787-9,,,,
2022-07-04 10:00:00,JFK,BCN,DL149,Delta Air Lines,3831,07:30,19F,W,Y,L,Airbus A330-300,,,,
2022-07-11 13:00:00,BCN,JFK,DL150,Delta Air Lines,3831,08:40,19F,W,Y,L,Airbus A330-300,,,,
