Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note
2008-09-12 07:15:00,AMS,LHR,KL1009,KLM,374,01:05,14A,W,Y,B,Boeing 737-800,,,
2008-09-14 18:30:00,LHR,AMS,KL1010,KLM,374,01:05,14A,W,Y,B,Boeing 737-800,,,
2010-03-08 06:45:00,AMS,FRA,KL1771,KLM,361,01:05,9F,W,Y,B,Fokker 70,,,
2010-03-10 17:20:00,FRA,AMS,KL1772,KLM,361,01:05,9F,W,Y,B,Fokker 70,,,
2012-05-20 09:30:00,AMS,CDG,AF1240,Air France,430,01:15,12C,A,Y,B,Airbus A318,,,
2012-05-22 19:00:00,CDG,AMS,AF1241,Air France,430,01:15,12C,A,Y,B,Airbus A318,,,
2013-06-14 08:00:00,AMS,CDG,AF1240,Air France,430,01:15,8A,W,Y,L,Airbus A319,,,
2013-06-21 17:30:00,CDG,AMS,AF1241,Air France,430,01:15,8A,W,Y,L,Airbus A319,,,
2014-04-03 07:30:00,AMS,CPH,KL1131,KLM,621,01:25,11F,W,Y,B,Embraer 190,,,
2014-04-04 18:45:00,CPH,AMS,KL1132,KLM,621,01:25,11F,W,Y,B,Embraer 190,,,
2015-09-05 11:00:00,AMS,LHR,BA428,British Airways,374,01:05,18D,A,Y,B,Airbus A320,,,
2015-09-07 20:15:00,LHR,AMS,BA429,British Airways,374,01:05,18D,A,Y,B,Airbus A320,,,
2016-04-22 10:30:00,AMS,ATH,KL1577,KLM,2161,03:25,22A,W,Y,L,Boeing 737-700,,,
2016-04-29 14:00:00,ATH,AMS,KL1578,KLM,2161,03:25,22A,W,Y,L,Boeing 737-700,,,
2016-10-08 11:20:00,AMS,NRT,KL861,KLM,9357,11:40,32K,W,Y,L,Boeing 777-300ER,,,
2016-10-22 13:00:00,NRT,AMS,KL862,KLM,9357,12:10,32K,W,Y,L,Boeing 777-300ER,,,
2018-07-14 08:45:00,AMS,IST,KL1603,KLM,2234,03:35,14A,W,Y,L,Boeing 737-800,,,
2018-07-21 16:20:00,IST,AMS,KL1604,KLM,2234,03:35,14A,W,Y,L,Boeing 737-800,,,
2019-02-08 09:00:00,AMS,JFK,KL641,KLM,5851,08:35,28K,W,Y,L,Boeing 787-9,,,
2019-02-16 18:30:00,JFK,AMS,KL642,KLM,5851,07:10,28K,W,Y,L,Boeing 787-9,,,
2019-08-03 21:30:00,AMS,SIN,KL837,KLM,10841,12:55,42A,W,C,L,Boeing 777-300ER,,,
2019-08-17 23:45:00,SIN,AMS,KL836,KLM,10841,13:40,42A,W,C,L,Boeing 777-300ER,,,
2020-02-14 07:30:00,AMS,DXB,EK148,Emirates,5509,07:00,24F,W,Y,L,Boeing 777-300ER,,,
2020-02-21 09:15:00,DXB,AMS,EK147,Emirates,5509,07:45,24F,W,Y,L,Boeing 777-300ER,,,
2021-10-09 10:15:00,AMS,CMN,AT800,Royal Air Maroc,2174,03:20,16A,W,Y,L,Boeing 737-800,,,
2021-10-16 14:30:00,CMN,AMS,AT801,Royal Air Maroc,2174,03:20,16A,W,Y,L,Boeing 737-800,,,
2022-05-11 06:50:00,AMS,LHR,KL1009,KLM,374,01:05,10F,W,Y,B,Boeing 737-900,,,
2022-05-12 19:30:00,LHR,AMS,KL1010,KLM,374,01:05,10F,W,Y,B,Boeing 737-900,,,
2023-09-21 13:40:00,AMS,FCO,KL1601,KLM,1899,02:45,19A,W,Y,L,Boeing 737-800,,,
2023-09-28 11:10:00,FCO,AMS,KL1602,KLM,1899,02:45,19A,W,Y,L,Boeing 737-800,,,
2024-03-02 08:30:00,AMS,NBO,KL565,KLM,6812,09:10,34K,W,Y,L,Boeing 787-9,,,
2024-03-12 23:45:00,NBO,AMS,KL566,KLM,6812,08:35,34K,W,Y,L,Boeing 787-9,,,
