Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note
2010-11-18 07:00:00,AMS,LHR,KL1009,KLM,374,01:05,15B,A,Y,B,Boeing 737-800,,,
2010-11-20 19:00:00,LHR,AMS,KL1010,KLM,374,01:05,15B,A,Y,B,Boeing 737-800,,,
2012-06-08 08:30:00,AMS,BCN,VY8364,Vueling,1644,02:30,18C,A,Y,L,Airbus A319,,,
2012-06-15 17:00:00,BCN,AMS,VY8365,Vueling,1644,02:30,18C,A,Y,L,Airbus A319,,,
2014-08-10 09:15:00,AMS,CDG,AF1240,Air France,430,01:15,10A,W,Y,L,Airbus A318,,,
2014-08-17 18:30:00,CDG,AMS,AF1241,Air France,430,01:15,10A,W,Y,L,Airbus A318,,,
2015-11-06 07:30:00,AMS,FRA,LH987,Lufthansa,361,01:05,12D,A,Y,B,Airbus A319,,,
2015-11-07 17:50:00,FRA,AMS,LH986,Lufthansa,361,01:05,12D,A,Y,B,Airbus A319,,,
2016-04-22 10:30:00,AMS,ATH,KL1577,KLM,2161,03:25,22B,A,Y,L,Boeing 737-700,,,
2016-04-29 14:00:00,ATH,AMS,KL1578,KLM,2161,03:25,22B,A,Y,L,Boeing 737-700,,,
2016-10-08 11:20:00,AMS,NRT,KL861,KLM,9357,11:40,33K,W,Y,L,Boeing 777-300ER,,,
2016-10-22 13:00:00,NRT,AMS,KL862,KLM,9357,12:10,33K,W,Y,L,Boeing 777-300ER,,,
2019-08-03 21:30:00,AMS,SIN,KL837,KLM,10841,12:55,43A,W,C,L,Boeing 777-300ER,,,
2019-08-17 23:45:00,SIN,AMS,KL836,KLM,10841,13:40,43A,W,C,L,Boeing 777-300ER,,,
2021-07-30 09:20:00,AMS,LIS,KL1701,KLM,2320,02:50,16A,W,Y,L,Boeing 737-800,,,
2021-08-06 18:10:00,LIS,AMS,KL1702,KLM,2320,02:50,16A,W,Y,L,Boeing 737-800,,,
2023-09-21 13:40:00,AMS,FCO,KL1601,KLM,1899,02:45,19B,A,Y,L,Boeing 737-800,,,
2023-09-28 11:10:00,FCO,AMS,KL1602,KLM,1899,02:45,19B,A,Y,L,Boeing 737-800,,,
2024-06-14 11:00:00,AMS,EDI,KL1545,KLM,1095,01:45,14A,W,Y,L,Embraer 190,,,
2024-06-21 16:30:00,EDI,AMS,KL1546,KLM,1095,01:45,14A,W,Y,L,Embraer 190,,,
